Sistema,Usuario,CPU (%),Memoria (%),Espacio en disco (GB),Espacio libre (GB),Porcentaje ocupado (%)
Windows 11,Zeben,2.73,66.90,947.00,205.00,78.35
Sistema,Usuario,CPU (%),Memoria (%),Espacio en disco (GB),Espacio libre (GB),Porcentaje ocupado (%)
Windows 11,Patroclo,271.00,66.90,947.00,205.00,78.35
Windows 11,Zeben,1.22,67.27,947.00,205.00,78.35
Windows 11,Patroclo,122.00,67.29,947.00,205.00,78.35
Windows 11,Zeben,3.77,68.10,947.00,205.00,78.35
Windows 11,Patroclo,377.00,68.10,947.00,205.00,78.35
Windows 11,Patroclo,263.00,68.30,947.00,205.00,78.35
Windows 11,Zeben,2.65,68.30,947.00,205.00,78.35
Windows 11,Patroclo,138.00,71.46,947.00,205.00,78.35
Windows 11,Zeben,1.31,71.46,947.00,205.00,78.35
Windows 11,Patroclo,47.00,70.01,947.00,205.00,78.35
Windows 11,Zeben,0.47,70.01,947.00,205.00,78.35
Windows 11,Patroclo,57.00,69.90,947.00,205.00,78.35
Windows 11,Zeben,0.57,69.90,947.00,205.00,78.35
Windows 11,Zeben,0.66,69.25,947.00,205.00,78.35
Windows 11,Patroclo,66.00,69.25,947.00,205.00,78.35
Windows 11,Patroclo,66.00,69.40,947.00,205.00,78.35
Windows 11,Zeben,0.66,69.40,947.00,205.00,78.35
Windows 11,Zeben,0.76,68.53,947.00,205.00,78.35
Windows 11,Patroclo,76.00,68.53,947.00,205.00,78.35
Windows 11,Zeben,0.27,69.60,947.00,205.00,78.35
Windows 11,Patroclo,27.00,69.60,947.00,205.00,78.35
Windows 11,Zeben,0.19,69.10,947.00,205.00,78.35
Windows 11,Patroclo,19.00,69.10,947.00,205.00,78.35
Windows 11,Zeben,3.15,59.84,947.00,205.00,78.35
Windows 11,Zeben,2.25,59.78,947.00,205.00,78.35
Windows 11,Zeben,0.66,61.08,947.00,205.00,78.35
Windows 11,Zeben,1.12,59.42,947.00,205.00,78.35
Windows 11,Zeben,1.33,59.82,947.00,205.00,78.35
Windows 11,Zeben,1.11,51.71,947.00,214.00,77.40
Windows 11,Zeben,4.96,50.51,947.00,214.00,77.40
Windows 11,Zeben,2.00,61.27,947.00,213.00,77.51
Windows 11,Zeben,0.38,61.95,947.00,213.00,77.51
Windows 11,Zeben,0.57,58.92,947.00,213.00,77.51
Windows 11,Zeben,0.57,58.92,947.00,213.00,77.51
