Sistema,Usuario,CPU (%),Memoria (%),Espacio en disco (GB),Espacio libre (GB),Porcentaje ocupado (%)
Windows 11,Zeben,2.79,66.93,947.00,205.00,78.35
Windows 11,Zeben,1.21,66.86,947.00,205.00,78.35
Windows 11,Zeben,1.04,66.87,947.00,205.00,78.35
Windows 11,Zeben,2.07,67.18,947.00,205.00,78.35
Windows 11,Zeben,5.78,67.34,947.00,205.00,78.35
Windows 11,Zeben,2.42,67.10,947.00,205.00,78.35
Windows 11,Zeben,1.70,67.24,947.00,205.00,78.35
Windows 11,Zeben,0.64,67.07,947.00,205.00,78.35
Windows 11,Zeben,2.10,67.11,947.00,205.00,78.35
Windows 11,Zeben,0.66,67.16,947.00,205.00,78.35
Windows 11,Zeben,0.28,67.11,947.00,205.00,78.35
Windows 11,Zeben,0.38,67.10,947.00,205.00,78.35
Windows 11,Zeben,0.19,67.08,947.00,205.00,78.35
Windows 11,Zeben,2.00,67.05,947.00,205.00,78.35
Windows 11,Zeben,0.95,66.91,947.00,205.00,78.35
Windows 11,Zeben,2.05,66.91,947.00,205.00,78.35
Windows 11,Zeben,2.08,66.92,947.00,205.00,78.35
Windows 11,Zeben,2.89,66.92,947.00,205.00,78.35
Windows 11,Zeben,0.37,66.70,947.00,205.00,78.35
Windows 11,Zeben,1.31,68.14,947.00,205.00,78.35
Windows 11,Zeben,0.94,68.12,947.00,205.00,78.35
Windows 11,Zeben,1.34,68.17,947.00,205.00,78.35
Windows 11,Zeben,3.15,68.20,947.00,205.00,78.35
Windows 11,Zeben,3.14,68.28,947.00,205.00,78.35
Windows 11,Zeben,5.07,68.76,947.00,205.00,78.35
Windows 11,Zeben,2.73,68.78,947.00,205.00,78.35
Windows 11,Zeben,3.08,68.75,947.00,205.00,78.35
Windows 11,Zeben,1.33,68.71,947.00,205.00,78.35
Windows 11,Zeben,1.05,68.75,947.00,205.00,78.35
Windows 11,Zeben,3.48,68.85,947.00,205.00,78.35
Windows 11,Zeben,1.42,68.90,947.00,205.00,78.35
Windows 11,Zeben,1.05,68.76,947.00,205.00,78.35
Windows 11,Zeben,1.96,68.42,947.00,205.00,78.35
Windows 11,Zeben,5.75,68.62,947.00,205.00,78.35
Windows 11,Zeben,1.79,68.61,947.00,205.00,78.35
Windows 11,Zeben,0.75,68.61,947.00,205.00,78.35
Windows 11,Zeben,0.76,68.48,947.00,205.00,78.35
Windows 11,Zeben,4.89,68.89,947.00,205.00,78.35
Windows 11,Zeben,0.47,68.97,947.00,205.00,78.35
Windows 11,Zeben,0.56,69.02,947.00,205.00,78.35
Windows 11,Zeben,2.21,69.13,947.00,205.00,78.35
Windows 11,Zeben,5.70,69.66,947.00,205.00,78.35
Windows 11,Zeben,3.78,69.81,947.00,205.00,78.35
Windows 11,Zeben,1.33,69.77,947.00,205.00,78.35
Windows 11,Zeben,0.29,70.06,947.00,205.00,78.35
Windows 11,Zeben,0.76,70.06,947.00,205.00,78.35
Windows 11,Zeben,0.93,69.91,947.00,205.00,78.35
Windows 11,Zeben,1.74,70.02,947.00,205.00,78.35
Windows 11,Zeben,0.66,70.03,947.00,205.00,78.35
Windows 11,Zeben,2.89,70.06,947.00,205.00,78.35
Windows 11,Zeben,2.92,71.47,947.00,205.00,78.35
Windows 11,Zeben,1.14,71.46,947.00,205.00,78.35
Windows 11,Zeben,1.00,71.42,947.00,205.00,78.35
Windows 11,Zeben,1.39,71.46,947.00,205.00,78.35
Windows 11,Zeben,0.83,71.44,947.00,205.00,78.35
Windows 11,Zeben,0.83,71.47,947.00,205.00,78.35
Windows 11,Zeben,0.48,71.49,947.00,205.00,78.35
Windows 11,Zeben,0.48,71.49,947.00,205.00,78.35
Windows 11,Zeben,3.56,71.51,947.00,205.00,78.35
Windows 11,Zeben,5.97,72.12,947.00,205.00,78.35
Windows 11,Zeben,4.40,72.93,947.00,205.00,78.35
Windows 11,Zeben,4.14,72.95,947.00,205.00,78.35
Windows 11,Zeben,1.90,73.03,947.00,205.00,78.35
Windows 11,Zeben,2.18,72.52,947.00,205.00,78.35
Windows 11,Zeben,0.47,72.51,947.00,205.00,78.35
Windows 11,Zeben,1.34,72.99,947.00,205.00,78.35
Windows 11,Zeben,3.08,72.69,947.00,205.00,78.35
Windows 11,Zeben,0.19,72.60,947.00,205.00,78.35
